항공사,출발지공항,스케줄타임
대한항공,오클랜드(뉴질랜드),202403081755
대한항공,치앙마이,202403081805
대한항공,호찌민,202403081805
대한항공,하노이,202403081805
대한항공,밴쿠버,202403081820
대한항공,상하이/푸동,202403081825
대한항공,나트랑,202403081830
대한항공,다낭,202403081830
대한항공,마닐라,202403081835
대한항공,싱가포르,202403081835
대한항공,댈러스포트워스,202403081835
대한항공,후쿠오카,202403081840
대한항공,하노이,202403081840
대한항공,도쿄/나리타,202403081845
대한항공,시드니,202403081845
대한항공,애틀랜타,202403081845
대한항공,세부,202403081850
대한항공,프놈펜,202403081855
대한항공,나고야,202403081900
대한항공,베이징/서우두,202403081900
대한항공,방콕/수완나품,202403081905
대한항공,오사카/ 간사이,202403081905
대한항공,상하이/푸동,202403081905
대한항공,대구,202403081925
대한항공,미니애폴리스,202403081925
대한항공,김해,202403081935
대한항공,호찌민,202403081935
대한항공,로스앤젤레스,202403081940
대한항공,브리즈번,202403081945
대한항공,홍콩,202403082000
대한항공,마닐라,202403082005
대한항공,시애틀,202403082005
대한항공,세부,202403082005
대한항공,방콕/수완나품,202403082010
대한항공,방콕/수완나품,202403082015
대한항공,샌프란시스코,202403082020
대한항공,호놀룰루,202403082035
대한항공,뉴욕/존에프케네디,202403082035
대한항공,도쿄/하네다,202403082040
대한항공,타이베이,202403082055
대한항공,라스베이거스,202403082100
대한항공,다낭,202403082110
대한항공,호놀룰루,202403082125
대한항공,리야드,202403082225
대한항공,싱가포르,202403082310
대한항공,두바이,202403082340
대한항공,신 울란바토르,202403090005
대한항공,암스테르담,202403090055
대한항공,나트랑,202403090615
대한항공,후쿠오카,202403090650
대한항공,김해,202403090700
대한항공,키타큐슈,202403090705
대한항공,옌타이,202403090725
대한항공,도쿄/나리타,202403090730
대한항공,고마쓰,202403090735
대한항공,마닐라,202403090745
대한항공,신 울란바토르,202403090745
대한항공,베이징/서우두,202403090755
대한항공,후쿠오카,202403090800
대한항공,오사카/ 간사이,202403090800
대한항공,하노이,202403090805
대한항공,오키나와,202403090805
대한항공,선전,202403090815
대한항공,홍콩,202403090820
대한항공,김해,202403090825
대한항공,상하이/푸동,202403090825
대한항공,칭다오,202403090830
대한항공,삿포로,202403090835
대한항공,선양(심양),202403090850
대한항공,광저우,202403090855
대한항공,상하이/푸동,202403090855
대한항공,오사카/ 간사이,202403090900
대한항공,타이베이,202403090900
